Step Title,Question Text,Answer,Theme,Number
R2 BREAK,Round 3 will begin after this break!,,,
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,"What expensive accessory was initially worn by hip-hop artists in New York City in the early 1980s, and upgraded during the 1990s in Oakland. They became even more widely popular during the mida-2000s due to the rise of Southern hip hop rap and the more mainstream pop culture status hip hop attained. ",Grill,,
R3 Q2,What1990–1997; 172 Episodes; IMDb rating: 7.3; Setting: Nantucket ,Wings,,
R3 Q3,What country group sings this song?,The chicks,,
R3 Q4,What is the (non-Ohio) alma mater of Julia Childes?,,,
R3 Q5,Where did the Battle of Hastings take place? ,Sussex,,
R3 Q6,"According to BBC this tasty food suprisingly originated in Belgium in the winter of 1680, when the fried fish-loving denizens of a city called Namur had to find something else to cook when the local river froze over. What is it? (For the sake of the theme use the single word name)",Fries,,
R3 Q7,"Benedictine monks, living in region of Italy created what famous cheese in 1254 when trying to extend the shelf life of milk?",Para,,
R3 Q8,What unconventional corn-based food was thought to be had at the original Thanksgiving?,,,
R3 Q9,"What was Michael Scott's 2 word catch phrase when getting in a ""good jab"" at someone?",,,
R3 Q10,What animal is making this mating call?,,,
