Step Title,Question Text,Answer,Theme,Number,
R1 Q1,,Juke,Old Phones,1,
R1 Q2,,,Famous Daves,2,
R1 Q3,What video game does this iconic music belong to?,,Video Game Music,3,
R1 Q4,What anime was this song an intro for?,Ouran Host Club,Anime Intros,4,
R1 Q5,Who is the starting QB this season for the Arizona Cardinals?,Kyler Murray,NFL Quarterbacks,5,
R1 Q6,"What is said to be a spirit that shapes shifts and lives in the lakes of Scotland according to Scottish folklore.Often described as a dark black horse that can transform into a human form, the Loch Ness monster is technically one of these.",Kelpie,Horse-shaped mythical creatures,6,
R1 Q7,What is the NAME and ARTIST of the popular Country song?,Morgan Wallen - Whiskey Glasses,Country Songs,7,
R1 Q8,,,Pilot episode description,8,
R1 Q9,,,Astronomy,9,
R1 Q10,"What is the carpentry term for a long, flat or curved steel tool like a file but rougher. Used for removing wood on curved surfaces.",Rasp,Carpentry,10,
R1 BREAK,Column1,Answer,Theme,Number,
R2 Q1,,Alias,Old Phones,1,
R2 Q2,,,Famous Daves,2,
R2 Q3,What video game does this iconic music belong to?,,Video Game Music,3,
R2 Q4,What anime was this song an intro for?,,Anime Intros,4,
R2 Q5,Who is the starting QB this season for the NY Giants?,Jake Fromm,NFL Quarterbacks,5,
R2 Q6,The name for a winged horse that can fly in Greek Mythology,Pegasus,Rare mythical creatures,6,
R2 Q7,What is the NAME and ARTIST of the popular Country song?,,Country Songs,7,
R2 Q8,,,Pilot episode description,8,
R2 Q9,,,Astronomy,9,
R2 Q10,What is the name for a drill bit that has a center spur and circular rims with cutting teeth that is used to cut clean flat bottomed holes?,Forstner,Carpentry,10,
R2 BREAK,Column1,Answer,Theme,Number,Double letters
R3 Q1,What phone brand later bought by Sont boasted popular models like the  T68 and T28?,Ericsson,Old Phones,1,
R3 Q2,"an English broadcaster and natural historian. He is best known for writing and presenting, in conjunction with the BBC Natural History Unit, the nine natural history documentary series forming the Life collection that together constitute a comprehensive survey of animal and plant life on Earth.",David Attenborough,Famous Daves,2,
R3 Q3,What video game does this iconic music belong to?,ChronoTrigger,Video Game Music,3,
R3 Q4,What anime was this song an intro for?,DragonBall Z,Anime Intros,4,
R3 Q5,Who is the starting QB this season for the Detriot Lions?,Jared Goff,NFL Quarterbacks,5,
R3 Q6,"This mythical creature is a mixture of animals, with the upper body of a horse and the lower body of a fish. It was the one that drew Poseidon’s chariot.",Hippocampus,Rare mythical creatures,6,
R3 Q7,What is the NAME and ARTIST of the popular Country song?,Tequila Little Time,Country Songs,7,
R3 Q8,,Battlestar Galactica,Pilot episode description,8,
R3 Q9,"What is Jupister's SECOND largest moon, behind Ganymede?",Callisto,Astronomy,9,
R3 Q10,"An measuring/marking/checking tool with two legs, one of them sliding, looks a bit like a compass.",Calliper,Carpentry,10,
