Step Title,Question Text,Answer,Theme,Number
R3 Q1,What is Chuck E. Cheese's full name?,Fight Club,,
R3 Q2,"What breaks down macromolecules such as nucleic acids, proteins, and polysaccharides?",,,
R3 Q3,The TV show Bridgerton used this instrumental cover of WHAT pop song?,,,
R3 Q4,"Six sea frame pieces, 19 terrain hexes, nine harbor pieces, 18 circular number tokens, 126 game cards, 16 cities, 20 settlements, 60 roads, two dice, a robber and a rules and almanac booklet.",Life,,
R3 Q5,Who is this famous Taylor Swift song written about?,,,
R3 Q6,"What book opens with the line ""It was a bright cold day in April, and the clocks were striking thirteen.""",Catcher,,
R3 Q7,"What company's logo depicts a smiley face, or can say a half G in its logo. As the company strives to bring a smile to the faces of the disadvantaged.",BP,,
R3 Q8,What antique car was also known as the Tin Lizzie?,red,,
R3 Q9,What musical does this song come from?,,,
R3 Q10,"What pride flag is Blue, Pink and Purple?",Pansexuals,,
R2 BREAK,Round 3 will begin after this break!,,,
